Codigo,Lat,Lon,Area
72815000,-27.0881,-51.2578,2502
72810000,-27.0881,-51.2581,2010
72806000,-26.9828,-51.1667,1648
72715000,-26.8958,-51.0756,801
72700000,-27.5206,-51.8108,31800
72690080,-27.5247,-51.7817,32000
72630900,-27.7075,-51.8858,2796
72480100,-27.6547,-51.75,2227
72480001,-27.6589,-51.7483,2190
72451000,-27.6147,-51.7508,2274
72428000,-27.8786,-51.7542,1604
72090000,-27.6367,-51.4897,371.2
71900000,-27.5828,-51.3539,59
71890500,-27.5689,-51.3597,54.6
71840000,-27.6064,-51.3256,14433
71740000,-27.6372,-51.0047,13228
71700000,-27.6264,-50.9858,13074
71655000,-27.6339,-50.7806,2204
71647000,-27.6711,-50.7097,2050
71645000,-27.7161,-50.6758,1710
71644000,-27.7175,-50.6592,1710
71621500,-27.805,-50.4811,1080
71621000,-27.8117,-50.4794,1080
71540000,-27.5169,-50.8322,10081
71497000,-27.225,-50.7339,3074
71388600,-27.4528,-50.6714,5750
71388000,-27.4564,-50.6439,5490
71386000,-27.4597,-50.52,0
71385400,-27.4858,-50.3917,4610
71383300,-27.4858,-50.3917,4720
71380500,-27.5322,-51.4233,288
71380450,-27.5214,-51.4131,288
71350001,-27.5078,-50.1128,3230
71300000,-27.7022,-49.84,2000
71200000,-27.8028,-49.7786,1010
70845000,-27.7381,-51.3133,943
70844500,-27.7722,-51.3333,878
70844300,-27.7886,-51.3469,849
70844200,-27.8197,-51.3753,825
70843500,-27.8572,-51.3814,143
70843000,-27.8569,-51.3611,619
70841500,-28.0819,-51.2583,189
70840080,-27.78,-51.1917,11900
70720000,-28.2869,-50.8333,474
70710000,-28.2628,-50.7608,793
70610000,-28.2883,-50.6431,1150
70600000,-28.02,-50.7822,618
70305000,-28.0894,-50.0614,1119
70150000,-28.3944,-50.5756,6160
70120000,-28.4456,-49.8975,1480
70110000,-28.4022,-49.9106,167
67100000,-21.7003,-57.8911,576000
66960008,-19.6006,-57.4372,371000
66945000,-20.4783,-55.8014,15700
66941000,-20.4481,-55.4281,10900
66910000,-20.2408,-56.3992,15000
66900000,-20.7619,-56.0911,11600
66870000,-18.5078,-54.7619,27600
66861000,-19.4133,-54.4589,601
66859000,-19.4103,-54.4931,600
66830000,-17.9319,-53.3753,159
66825000,-19.0017,-57.5942,253000
66710000,-17.3656,-56.7747,95200
66650000,-17.2917,-56.3872,30000
66600000,-17.2017,-56.0086,23300
66525100,-17.0953,-54.9361,4910
66523000,-17.0908,-54.8311,5230
66522100,-17.2981,-54.76,0
66522000,-17.1386,-54.8192,5280
66521000,-17.1244,-54.7239,0
66494000,-17.6183,-54.8883,0
66493900,-17.6175,-54.8867,327
66493000,-17.61,-54.9389,4294
66489000,-17.6075,-54.8272,3997
66484500,-17.5328,-54.445,3133
66484000,-17.5378,-54.4325,3132
66483800,-17.5164,-54.4178,0
66483600,-17.5444,-54.4139,3130
66460000,-16.6081,-55.2064,23000
66454900,-16.6669,-54.7356,2720
66454800,-16.6689,-54.7403,1815
66453000,-16.7128,-54.7478,1698
66452500,-16.7483,-54.7217,1543
66450010,-16.4789,-54.6506,12400
66425050,-14.4283,-57.8128,160
66425000,-14.4194,-57.8183,155
66420250,-15.8508,-54.3753,1360
66420180,-15.8386,-54.3819,1200
66420160,-15.8342,-54.4056,161
66420000,-15.7975,-54.3608,945
66400390,-16.2189,-54.9431,5775
66400380,-16.2169,-54.9433,5770
66400360,-16.0394,-54.9397,5460
66400355,-16.3047,-55.0597,397
66400325,-16.2994,-55.0622,397
66400060,-16.1039,-54.9908,332
66400050,-16.0964,-55.0425,320
66390090,-16.045,-54.8867,738
66388000,-15.9792,-55.0328,0
66386000,-15.9872,-55.0711,325
66385500,-15.9767,-55.0836,320
66384000,-15.9964,-55.0961,327
66380100,-15.9981,-54.9217,3240
